NomImage;Numero;nbPixBoucleHaut;nbPixBoucleBas;Compacity;distSTDskel;nbPixSkelQuartBasGauche;skelXcentreGrav;skelYcentreGrav;boucleXcentreGrav;boucleYcentreGrav;diffSkelBoucleXcentreGrav;diffSkelBoucleYcentreGrav;nbPixDiagInfSkel;nbPixDiagSupSkel
124,pgm;4;248;0;1,04256;7,58244;70;45,365385;51,298077;17,983871;53,040323;27,381514;-1,742246;167;145
125,pgm;5;1436;3297;2,544284;12,933053;88;49,912596;45,586118;57,827805;45,698922;-7,915208;-0,112804;187;198
126,pgm;6;2169;3192;1,205721;8,243222;70;50,28125;47,354167;53,592986;42,732886;-3,311736;4,621281;155;132
127,pgm;7;502;2469;1,332018;9,223318;94;57,920578;38,736462;66,53551;36,020868;-8,614932;2,715594;99;173
128,pgm;8;3046;318;1,20827;8,249453;26;37,141264;53,144981;30,514566;49,113853;6,626698;4,031129;164;102
129,pgm;9;0;1;0,07958;12,90873;109;62,393013;36,838428;97;32;-34,606987;4,838428;53;175
130,pgm;0;0;386;0,981553;15,828496;98;57,476868;45,010676;75,637306;83,569948;-18,160437;-38,559272;97;179
131,pgm;1;3157;3149;1,128214;3,226378;82;50,494983;48,675585;49,335236;48,462575;1,159747;0,21301;144;153
132,pgm;2;0;145;1,111373;8,989392;57;57,792627;55,092166;83,689655;35,717241;-25,897028;19,374925;123;94
133,pgm;3;1045;475;3,142618;12,567048;111;53,48366;40,96732;37,811184;34,170395;15,672476;6,796926;115;188
134,pgm;4;288;0;1,277698;8,718675;72;50,72956;50,650943;24,90625;53,541667;25,82331;-2,890723;162;154
135,pgm;5;1875;2531;1,861095;13,460944;62;47,361702;50,06079;51,732637;51,568089;-4,370935;-1,507299;172;154
136,pgm;6;1875;3112;1,407591;8,882617;73;54,927673;47,220126;57,424303;44,525165;-2,49663;2,69496;157;159
137,pgm;7;0;1;0,07958;13,502919;51;54,403636;52,836364;93;63;-38,596364;-10,163636;137;136
138,pgm;8;1414;0;1,458832;13,388531;0;30,291667;54,008333;17,84512;41,88826;12,446546;12,120073;180;58
139,pgm;9;0;1;0,07958;13,021064;136;60,008584;35,815451;91;40;-30,991416;-4,184549;54;177
140,pgm;0;0;1;0,07958;11,702303;75;58,157895;45,466667;75;86;-16,842105;-40,533333;107;176
141,pgm;1;3359;3153;1,085228;4,841544;74;48,114094;51,375839;48,623618;50,812193;-0,509524;0,563646;153;143
142,pgm;2;0;566;1,088809;9,136794;111;63,844358;49,023346;82,659011;19,818021;-18,814653;29,205325;116;141
143,pgm;3;0;1;0,07958;11,986222;54;48,682028;53,834101;51;37;-2,317972;16,834101;97;119
144,pgm;4;74;0;1,033462;5,496406;77;59,793893;48,251908;40,27027;72,108108;19,523623;-23,8562;112;148
145,pgm;5;2009;2021;2,460636;13,368737;118;55,263456;46,269122;53,751117;45,201985;1,512339;1,067137;131;219
146,pgm;6;2104;3187;1,657835;9,375294;78;49,539157;51,692771;53,719146;48,295218;-4,179989;3,397553;185;145
147,pgm;7;0;1;0,07958;7,659185;72;54,379928;48,473118;87;67;-32,620072;-18,526882;131;147
148,pgm;8;2955;587;1,107287;7,375715;40;39,103053;52,671756;32,985037;49,239977;6,118017;3,431778;157;102
149,pgm;9;0;1;0,07958;11,096234;97;55,181435;37,28692;90;36;-34,818565;1,28692;76;159
150,pgm;0;59;1878;1,038646;14,194964;90;53,415584;48,480519;70,091895;64,234383;-16,67631;-15,753864;133;173
151,pgm;1;3633;3457;1,064776;1,528984;74;49,069841;49,177778;49,628491;50,314951;-0,55865;-1,137173;153;160
152,pgm;2;0;1480;1,446202;12,445427;90;63,902439;53,616725;84,685135;44,027703;-20,782696;9,589022;132;153
153,pgm;3;283;0;1,151798;14,31918;83;50,234818;39,238866;8,632509;21,363958;41,602309;17,874909;108;135
154,pgm;4;390;0;1,02862;9,870048;57;53,631579;54,142857;29,879487;72,620513;23,752092;-18,477656;130;136
155,pgm;5;2750;2125;2,283345;14,586498;99;49,984615;48,097436;49,453949;48,156308;0,530667;-0,058872;180;207
156,pgm;6;2316;2970;1,560945;12,663797;90;47,953488;45,485465;53,3479;41,398222;-5,394412;4,087243;177;164
157,pgm;7;0;1;0,07958;12,210696;50;59,635556;57,026667;91;81;-31,364444;-23,973333;107;117
158,pgm;8;1788;0;1,347516;14,462279;0;31,829457;57,414729;19,511745;42,628076;12,317712;14,786653;194;61
159,pgm;9;0;1;0,07958;12,181133;62;62,454054;39,12973;90;32;-27,545946;7,12973;33;150
